date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:50:11	174375/174375	---M-Z	200	added ('OK')	text/html	etag:%22yyqvzfl5n03q8x%22	https://www.statefarm.com/insurance/auto/discounts/drive-safe-save	C:/My%20Web%20Sites/dss/www.statefarm.com/insurance/auto/discounts/drive-safe-save.html	(from )
12:50:12	392/392	---M-Z	200	added ('OK')	text/plain	date:Tue,%2028%20Mar%202023%2016:45:01%20GMT	https://www.statefarm.com/robots.txt		(from )
12:50:12	28645/28645	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Jun%202024%2002:34:19%20GMT	https://www.statefarm.com/content/dam/sf-library/en-us/secure/legacy/state-farm/sf-logo-for-rich-links.jpg	C:/My%20Web%20Sites/dss/www.statefarm.com/content/dam/sf-library/en-us/secure/legacy/state-farm/sf-logo-for-rich-links.jpg	(from https://www.statefarm.com/insurance/auto/discounts/drive-safe-save)
12:50:12	14028/14028	---M--	200	added ('OK')	image/png	date:Wed,%2021%20Dec%202022%2015:07:22%20GMT	https://www.statefarm.com/content/dam/sf-library/en-us/secure/legacy/state-farm/SF_Logo_Red_Standard_Horzintal.png	C:/My%20Web%20Sites/dss/www.statefarm.com/content/dam/sf-library/en-us/secure/legacy/state-farm/SF_Logo_Red_Standard_Horzintal.png	(from https://www.statefarm.com/insurance/auto/discounts/drive-safe-save)
12:50:13	16026/16026	---M-Z	200	added ('OK')	text/css	date:Mon,%2024%20Mar%202025%2011:34:01%20GMT	https://static1.st8fm.com/en_US/dxl-1x/prod/css/lib/normalize.css	C:/My%20Web%20Sites/dss/static1.st8fm.com/en_US/dxl-1x/prod/css/lib/normalize.css	(from https://www.statefarm.com/insurance/auto/discounts/drive-safe-save)
12:50:13	6418/6418	---M-Z	200	added ('OK')	text/css	date:Mon,%2024%20Mar%202025%2021:45:49%20GMT	https://www.statefarm.com/etc.clientlibs/StateFarmAEM/components/privacy-notice/clientlib-privacy.min.7795e08a5cb1e0d839b6cabf2e124b46.css	C:/My%20Web%20Sites/dss/www.statefarm.com/etc.clientlibs/StateFarmAEM/components/privacy-notice/clientlib-privacy.min.7795e08a5cb1e0d839b6cabf2e124b46.css	(from https://www.statefarm.com/insurance/auto/discounts/drive-safe-save)
12:50:13	660675/660675	---M-Z	200	added ('OK')	text/css	date:Mon,%2024%20Mar%202025%2011:34:01%20GMT	https://static1.st8fm.com/en_US/dxl-1x/prod/css/1x.core.css	C:/My%20Web%20Sites/dss/static1.st8fm.com/en_US/dxl-1x/prod/css/1x.core.css	(from https://www.statefarm.com/insurance/auto/discounts/drive-safe-save)
12:50:13	2519/2519	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2029%20Jan%202025%2000:57:16%20GMT	https://www.statefarm.com/etc.clientlibs/StateFarmAEM/components/privacy-notice/clientlib-privacy.min.4c432d946394ebc816488caac2eca98c.js	C:/My%20Web%20Sites/dss/www.statefarm.com/etc.clientlibs/StateFarmAEM/components/privacy-notice/clientlib-privacy.min.4c432d946394ebc816488caac2eca98c.js	(from https://www.statefarm.com/insurance/auto/discounts/drive-safe-save)
12:50:14	10355/10355	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2006%20Apr%202025%2017:50:14%20GMT	https://static1.st8fm.com/en_US/b2c_dvts/common/js/lib/StateFarmCommon_1.js?single	
12:50:14	13725/13725	---M-Z	200	added ('OK')	text/javascript	date:Sun,%2006%20Apr%202025%2017:50:14%20GMT	https://invocation.deel.c1.statefarm/deel.js	C:/My%20Web%20Sites/dss/invocation.deel.c1.statefarm/deel.js	(from https://www.statefarm.com/insurance/auto/discounts/drive-safe-save)
12:50:14	187053/187053	---M-Z	200	added ('OK')	text/css	etag:W/%222daad-195a8b374c0%22	https://www.statefarm.com/hplp/_next/static/css/42408d4b3a2861c2.css	C:/My%20Web%20Sites/dss/www.statefarm.com/hplp/_next/static/css/42408d4b3a2861c2.css	(from https://www.statefarm.com/insurance/auto/discounts/drive-safe-save)
12:50:15	12890/12890	---M-Z	200	added ('OK')	text/css	etag:W/%22325a-194b7018248%22	https://www.statefarm.com/hplp/_next/static/css/8439cb8205d6c064.css	C:/My%20Web%20Sites/dss/www.statefarm.com/hplp/_next/static/css/8439cb8205d6c064.css	(from https://www.statefarm.com/insurance/auto/discounts/drive-safe-save)
